0	673	559	551	502
1	4552	3278	3025	2746
2	6213	4579	4321	3872
3	2789	2086	1954	1805
4	35929	29195	26393	24609
5	4885	4185	3967	3725
6	3433	2885	2728	2594
7	870	680	640	601
8	603	468	475	420
9	18403	15003	14025	13190
10	9370	7419	7167	6585
11	1285	1093	969	919
12	1519	1319	1233	1162
13	12191	10086	9567	8973
14	6247	4852	4776	4317
15	2933	2352	2233	2083
16	2714	2190	2137	1940
17	4112	3060	2955	2680
18	4323	2926	2860	2530
19	1274	1073	1025	959
20	5601	4681	4538	4212
21	6331	5446	5020	4809
22	9440	7626	7383	6800
23	5148	4497	4254	4045
24	2801	1814	1854	1570
25	5709	4302	4257	3806
26	962	753	744	663
27	1735	1320	1317	1170
28	2547	2108	1975	1861
29	1264	1109	1056	1006
30	8428	7057	6588	6206
31	1989	1470	1351	1217
32	18665	15116	13705	12900
33	9123	7088	6669	6130
34	652	548	531	499
35	10942	8277	7864	7223
36	3623	2712	2516	2280
37	3723	3274	3056	2892
38	12200	9860	9296	8760
39	1007	828	760	724
40	4463	3289	3207	2852
41	785	614	592	542
42	6116	4545	4223	3954
43	24427	17731	16638	14960
44	2657	2265	2157	2018
45	7668	5923	5784	5303
46	606	519	496	468
47	6490	5524	5249	4942
48	1766	1248	1130	1037
49	5500	4437	4388	4036
50	542	450	436	403
